Code,Name,Start,End,Latitude,Longitude,Duration[s]
WF1,2012330859,1332720000.0,1333238400.0,43.098368,-6.725673,479220
WF2,2012330846,1332720000.0,1332806400.0,43.275754,-5.318685,12480
WF3,2012330798,1332633600.0,1332979200.0,43.31121,-6.324272,335580
WF4,2012330981,1332892800.0,1333065600.0,43.173661,-6.659545,171360
WF5,2012331094,1333065600.0,1333324800.0,43.382986,-6.68765,250800
WF6,2012331038,1332979200.0,1333065600.0,43.36463,-6.295946,31320
WF7,2011331752,1323993600.0,1324080000.0,43.422864,-6.030373,33900
WF8,2012330753,1332633600.0,1332720000.0,43.294679,-6.663572,36600
WF9,2012330958,1332892800.0,1333238400.0,43.262495,-6.694891,259740
WF10,2012330956,1332892800.0,1332979200.0,43.246526,-5.652556,71760
WF11,2012330484,1331683200.0,1331769600.0,43.240209,-5.042266,20820
WF12,2012331009,1332892800.0,1333065600.0,43.494278,-6.370479,131040
WF13,2012330529,1331683200.0,1331942400.0,43.144594,-6.673173,174960
WF14,2012331131,1333065600.0,1333238400.0,43.421088,-6.61002,155580
WF15,2012330752,1332633600.0,1332806400.0,43.304129,-6.276094,137160
WF16,2012331835,1348358400.0,1348444800.0,43.274536,-6.673228,54180
WF17,2012330165,1330473600.0,1330560000.0,43.079656,-6.40066,13200
WF18,2012331808,1348099200.0,1348444800.0,43.171847,-6.973929,314040
WF19,2012331686,1346889600.0,1346976000.0,43.341942,-4.651262,70560
WF20,2012330493,1331683200.0,1331856000.0,43.306955,-4.985687,159780
WF21,2012331139,1333152000.0,1333238400.0,43.434286,-6.647271,85800
WF22,2012331807,1348012800.0,1348272000.0,43.216935,-6.983738,256260
WF23,2012330896,1332806400.0,1332892800.0,43.38991,-4.814504,37980
WF24,2012331060,1332979200.0,1333152000.0,43.247134,-6.37502,150480
WF25,2012331511,1345334400.0,1345420800.0,43.216391,-5.094126,20040
WF26,2012330949,1332892800.0,1332979200.0,43.362411,-5.853067,82500
WF27,2012330854,1332720000.0,1332892800.0,43.154962,-5.98277,86820
WF28,2012330986,1332892800.0,1333152000.0,43.218722,-6.802669,178980
WF29,2012331175,1333152000.0,1333238400.0,43.287469,-6.632603,75960
WF30,2012331436,1344556800.0,1344902400.0,43.021583,-6.942884,275640
